,店名,星級,評論數,分類,適合人數(1、2-4、5),心情(好、普、爛)
9,偷吃吐司專賣店,4.6,95,三明治中港,2,3
10,好遞食肉蛋炭烤三明治,4.6,936,三明治飲料中港,2,3
13,玉欣珍傳統美食坊,4.6,7059,小吃中港,2,2
14,順園小館,4.4,937,小吃中港,3,2
17,三禾手打麵(大里新明店),4.7,234,小吃中港,2,2
18,哇呷咖哩涼麵,4.3,130,小吃中港,1,2
21,阿發小吃店,4.3,247,小吃中港,1,2
22,大水缸養生飲品.鍋燒意麵,4.6,518,小吃中港,1,2
25,雲之南滇緬料理,4.4,136,小吃中港,2,1
27,龍涎居(師大創始店),4.6,84,小吃中港,2,2
28,通化街魷魚羹(大安安居店),4.4,245,小吃中港,2,1
29,蕃茄樓,4.4,503,小吃中港,2,1
32,大來小館(台北麗水店),4.1,95,小吃中港,2,1
33,小北方美食館,4.3,364,小吃中港,1,2
34,龍涎居好湯,4.6,165,小吃中港,2,2
35,左爺爺的港式茶餐廳(台北愛國東店),4.4,175,小吃中港,3,1
37,灶紅了,4.6,1043,小吃中港,2,2
38,十全藥膳排骨(大安通化店),4.7,1410,小吃中港,1,2
41,寶斗城剝骨鵝肉店,4.6,299,小吃中港,2,1
43,馬叔餅舖,4.4,182,小吃中港,1,2
44,1976道地香港美食,4.5,217,小吃中港,2,3
46,欲罷不能鹹水雞(台北忠孝旗艦店),4.5,1210,小吃中港,1,1
48,吉馬陳蚵仔麵線大王,4.5,487,小吃中港,1,2
49,隨意小吃,4.6,417,小吃中港,1,2
50,八德饅頭專賣店,4.4,136,小吃中港,1,2
51,香港茶餐廳,4.5,5314,小吃中港,3,1
52,鼎祥小吃店,4.5,138,小吃中港,1,2
53,金葉紅廚(微風南山店),4.3,122,小吃中港,1,1
54,上台北小館,4,89,小吃中港,2,2
55,福園小吃,4.3,146,小吃中港,2,2
56,唐點小聚SocialPlace,4.5,126,小吃中港,3,1
57,寶之薌涼麵老婆粥,4.4,2034,小吃中港,1,3
58,林記海南雞飯,4.5,107,小吃中港,1,2
60,胖都督麵．燒雞．餃子,4.2,855,小吃中港,2,2
61,東區小賴甜不辣(台北延吉店),4.6,89,小吃中港,1,3
64,中崙米粉湯,4.4,397,小吃中港,1,2
67,中崙臭·ㄇㄛ·ㄇㄛ,4.4,131,小吃中港,1,2
69,糖朝SweetDynasty(微風南京旗艦店),4.4,2256,小吃中港,2,1
74,欲罷不能鹹水雞(台北師大店),4.5,129,小吃中港,1,2
76,極品鹽水雞(台北師大總店),4.4,323,小吃中港,1,1
77,余記東山鴨頭(台北大安店),4.6,349,小吃中港,2,1
78,易家香Q飯糰,4.7,1266,小吃中港,1,2
80,涮八方燒餅小舖,4.5,141,小吃中港,1,2
81,陸二村家,4.5,292,小吃中港,2,2
82,角屋關東煮,4.5,428,小吃中港,2,1
84,三嬸羊肉燴館,4,90,小吃中港,2,1
85,老朋友小酌,4.5,156,小吃中港,3,1
87,府城台南美食,4.5,277,小吃中港,2,2
88,健身私廚,4.5,160,小吃中港,1,2
91,石家烤肉飯,4.4,607,小吃中港,2,1
92,草魚禾海苔飯捲,4.6,79,小吃中港,1,1
93,麻姥姥重慶麻辣燙,4.5,173,小吃中港,2,2
94,渣男TaiwanBistro(台北古亭店),4.3,103,小吃中港,2,1
96,普里鹹油條(台北中正店),4.6,571,小吃中港,1,2
97,林記上海生煎包,4.6,113,小吃中港,1,2
99,戰鬥雞醉雞/油雞(台北吳興店),4.6,251,小吃中港,2,1
100,一碗小羊肉,4.6,297,小吃中港,1,2
101,珍饌古早味麵線(台北吳興店),4.3,164,小吃中港,1,2
102,噗嚨哄熱炒,4.3,361,小吃中港,3,1
103,小潘潘牛肉河粉(一店),4.3,201,小吃中港,2,1
105,一個女生鹽水雞,4.6,616,小吃中港,1,2
107,布里廚房,4.7,255,小吃中港,2,2
108,紅燈籠快炒,4.1,93,小吃中港,3,2
110,懿品小珍.涼麵.涼皮.麻辣湯品專賣店,4.6,238,小吃中港,1,2
111,府城鵝肉,4.5,584,小吃中港,2,1
118,日船章魚小丸子(台北忠孝敦化店),4.6,328,小吃中港,1,1
119,派克雞排(台北光華店),4.2,361,小吃中港,1,1
120,開源社香雞排(台北延吉店),4.6,149,小吃中港,1,3
122,新海岸活蝦(台北市民店),4.4,388,小吃中港,3,1
123,渣男TaiwanBistro(台北信義店),4.5,80,小吃中港,3,1
125,艾搗蛋手工蛋餅專賣店,4.3,151,小吃中港,1,3
126,香香炒飯,4.7,1329,小吃中港,1,2
127,雲麻集(台北忠孝店),4.4,259,小吃中港,2,2
130,豬腳城,4.3,183,小吃中港,2,2
132,小蔡永和豆漿,4.6,1018,小吃中港,2,3
133,鐵人飯糰,4.6,263,小吃中港,1,2
134,店長鴨血(萬華南機場店),4.6,196,小吃中港,1,3
136,一個女生鹽水雞(台北永吉店),4.5,517,小吃中港,1,3
138,鼎太郎(台北小巨蛋店),4.3,327,小吃中港,2,2
139,大王麵線,4.2,86,小吃中港,1,2
164,大鼎豬血湯(天然紅豆腐)(台北延吉店),4.6,293,中港,1,2
166,雞老爺藥膳桶仔雞串燒生啤酒,4.5,432,中港,2,3
167,巴蜀香香鍋(台北安東店),4.4,134,中港,2,1
171,京星港式飲茶2店,4.6,1633,中港,3,1
172,陳陽鵝肉大王,4.5,367,中港,2,2
176,胡記通化街米粉湯(台北大安旗艦店),4.5,185,中港,1,2
178,花蓮扁食(光華商場店),4.2,118,中港,1,2
183,興記菜館(微風南山店),4.5,215,中港,2,1
185,樂品軒(台北華山店),4.4,168,中港,2,2
186,劉媽媽抄手大滷麵(信義店),4.1,76,中港,1,2
188,娘娘雞排(台北永吉殿),4.5,106,中港,1,3
190,蒜翻天(大安和平店),4.4,209,中港,2,1
203,老郭川菜川味飄香43年,4.5,220,中港,3,1
209,蒜翻天(台北吳興店),4.3,941,中港,2,1
211,東門鴨莊(台北東門總店),4.6,4814,中港,2,1
215,御牛亭-和牛滷肉飯(XMetis),4.2,92,中港,2,3
217,阿榮碳烤,4.4,126,中港,3,2
218,活力飯糰(台北吳興店),4.6,76,中港,1,2
242,蘋果203派對早午餐(台北惠安店),4.6,138,中港,1,1
244,噱一下便當,4.3,120,中港,1,2
245,"集結號,肉蛋土司",4.4,315,中港三明治,1,2
246,澎派炭烤土司,4.6,387,中港三明治,2,1
247,香港仔茶水舖(台北信義店),4.1,1314,中港小吃,1,2
248,梁鑫雞肉飯專門店,4.7,1404,中港小吃,2,2
249,沈爺炸蛋蔥油餅,4.4,631,中港小吃,1,1
250,余記東山鴨頭(台北通化店),4.6,327,中港小吃,2,3
253,火鍋黨,4.3,83,中港火鍋,2,1
254,金霸臭臭鍋(大安四維店),4.6,250,中港火鍋,2,2
255,已知用火鮮味小火鍋,4.3,654,中港火鍋,2,1
256,早點到早午餐,4.7,202,中港早餐,1,2
257,拉亞漢堡(台北忠孝店),4.6,869,中港早餐,1,3
258,阿婆號早午餐,4.7,1640,中港早餐,1,2
259,蘋果203派對早午餐(台北延平店),4.6,247,中港早餐,1,1
260,犀牛犀牛吐司、捲餅、茶飲專?,4.6,513,中港早餐,2,1
261,通化街米粉湯50年老店(胡記復興旗艦店),4.5,4827,中港便當,1,2
262,新東陽麥記燒臘(台北師大店),4.2,178,中港便當,1,2
263,龍記燒臘(台北世貿店),4.3,81,中港便當,2,1
264,川品排骨店,4.4,375,中港便當,2,2
265,嘉珍港式燒臘店,4.4,662,中港便當,3,2
266,梅老闆,4.6,292,中港便當,2,2
267,一品食棧,4.3,820,中港便當,2,2
269,金全城自助餐,4.2,129,中港便當,1,2
270,滿意廚房,4.5,83,中港便當,2,2
271,港元燒臘,4.4,112,中港便當,3,2
272,立大功鐵板燒便當,4.4,305,中港便當,1,1
273,魔法雞排(台大公館店),4.7,184,中港炸雞,1,1
274,MR.GUGU(台北吳興店),4.4,470,中港炸雞,2,1
275,素食之家,4.7,238,中港素食,1,2
276,金玅幸福素食店,4.6,115,中港素食,1,2
277,蓮池閣素菜餐廳,4.6,99,中港素食,2,1
284,梁記手作豆花(台北廈門店),4.4,318,中港甜點,1,1
285,甜品胃,4.7,629,中港甜點,2,1
286,楓茶記(台北大安店),4.7,127,中港甜點,2,1
287,師大爆漿起司車輪餅,4.6,122,中港甜點,1,1
288,JJ豆花,4.5,406,中港甜點,2,2
289,咕咕鬆餅屋(台北信大店),4.4,211,中港甜點,3,1
292,紅豆仙生,4.2,227,中港甜點,2,2
293,才哥甜品舖(台北吳興店),4.5,283,中港甜點,2,1
295,TEATOP(台北台大店),4.6,97,中港飲料,2,1
297,空杯和平1號店,4.3,99,中港飲料,1,2
300,凰上您好,4.6,96,中港飲料,1,1
301,茶湯會(台北公館店),4.7,459,中港飲料,2,1
302,康青龍(台大公館店),4.8,253,中港飲料,3,1
306,Bluedeer布鹿果漾新鮮式(台北瑞安店),4.4,180,中港飲料,2,1
307,四口木果汁店,4.6,281,中港飲料,1,2
308,TEATOP(台北師大店),4.7,293,中港飲料,1,2
309,COMEBUY(大安師大店),4.7,92,中港飲料,3,2
312,康青龍(台北信義大安店),4.8,567,中港飲料,3,1
313,BobiiFrutii珍珠水果特調(台北永康店),4.6,313,中港飲料,2,1
314,武林茶(台北通化店),4.8,342,中港飲料,2,2
316,一芳水果茶(台北通化店),4.9,78,中港飲料,1,3
317,溫叨cafe(台北東門店),4.5,782,中港飲料,2,1
318,鮮茶道(北市通化店),4.7,499,中港飲料,1,1
319,沐白小農(台北通化店),4.8,1244,中港飲料,2,3
322,康青龍(大安通化店),4.7,745,中港飲料,2,1
326,清心福全(信義世貿店),4.8,697,中港飲料,3,2
327,康青龍(台北濟南店),4.7,331,中港飲料,2,2
328,COMEBUY(台北北醫店),4.7,149,中港飲料,2,2
329,迷客夏milkshop(台北南昌店),4.8,457,中港飲料,3,3
330,合粹,4.4,190,中港飲料,2,2
331,迷客夏(台北北醫店),4.8,238,中港飲料,3,2
332,LadyBean逗逗小姐,4.7,220,中港飲料,2,2
333,大苑子(台北南昌店),4.8,351,中港飲料,2,1
335,武林茶(台北敦南店),4.7,247,中港飲料,2,2
336,nooicafe諾伊咖啡,4.5,258,中港飲料,1,1
340,水巷茶弄(延吉忠孝店),4.8,725,中港飲料,1,2
342,COMEBUY(台北忠孝sogo店),4.7,85,中港飲料,3,2
344,康青龍(台北延吉店),4.9,131,中港飲料,3,1
346,COMEBUY(台北建國店),4.8,79,中港飲料,2,2
348,康青龍(台北華山店),4.7,323,中港飲料,3,2
351,天仁CHAFFEE(台北南山微風店),4.7,84,中港飲料,2,1
353,烏弄(台北遼寧店),4.7,151,中港飲料,2,2
354,草本茶集(台北遼寧店),4.5,100,中港飲料,1,1
356,COMEBUY(台北南機場店),4.8,182,中港飲料,3,2
357,烤茶之家&鮮榨果汁,4.6,107,中港飲料,1,2
358,春紀本家(台北八德總店),4.3,118,中港飲料,2,2
359,清心福全(台北南門店),4.7,222,中港飲料,3,2
362,鮮茶道(北市永吉店),4.8,162,中港飲料,1,1
363,Mr.Wish(台北市府店),4.7,483,中港飲料,2,1
364,COMEBUY(台北市府店),4.7,320,中港飲料,2,2
368,武林茶(台北公館汀州店),4.8,99,中港飲料,2,2
369,阿二冰茶,4.6,475,中港飲料,2,2
373,THEONETEA一茶工房,4.6,263,中港飲料,1,3
374,青果園鮮萃飲,4.5,95,中港飲料,1,2
375,幸福堂(台北通化店),4.3,156,中港飲料,2,1
378,拉CHA茶,4.6,77,中港飲料,2,2
379,自己來紅茶鮮乳(台北臨江店),4.7,83,中港飲料,1,2
381,御心木瓜牛奶,4.8,612,中港飲料,1,2
385,瓷禧茶坊(台北中正店),4.6,418,中港飲料,3,2
390,瓷禧茶坊(台北松菸店),4.6,126,中港飲料,3,1
391,何媽媽手作蒟蒻,4.7,188,中港飲料甜點,2,1
393,"麻舖子,川蜀麻辣燙.滷味",4.2,112,中港滷味,2,2
394,川霸子麻辣滷味(吳興店),4.5,355,中港滷味,2,2
396,香師傅滷味(台北大安店),4.6,876,中港滷味,3,2
397,韓老六椒香滷味,4.6,306,中港滷味,3,2
398,辣妞妞麻辣燙(南機場店),4.6,819,中港滷味,2,2
399,八方雲集(建南店),4.8,137,中港餃子,3,2
400,八方雲集(忠孝三店),4.6,169,中港餃子,3,2
